cleaned_comment,Label
ta kon technical na aspeto mn sna tano ta dai ninda magibohan nin paagi na haloy haloy na problima ninda..,negative
mercy garing agreed. tagiti pa sana automatic brownout.,negative
uban na yan na issue kiton ka casuraot 3 uda pagbabago. suya.,negative
tawan man tabi kin tultul na na serbisyo ka kuryente ta mga tultul man kaming,negative
bonus is real! kokoon sa consumer is real! pakaraya raw rabi serbisyo ninyo casureco,negative
ill ta pag nararaot a mga appliances namo diri man ninyo mababalyuwan.,negative
maging totoo sana kamo tanganing diri kamo napag iisipan kin uno pa man.,negative
lang surang surang bagana na christmas light ading sulo!,negative
nagbabayad man sa toltol dapat toltol man serbisyo itao casurico 3!,negative
ahh serbisyo palpak pero kin migsingil lang ispid?,negative
casureco 3 palpak a ibang casureco sadi camsur amo adi palpak ta uda basang notisya o kin abiso kin mauudaan sa kuryente.,negative
"atang pandemya na ngani usad p man adi nagpapasakit hays,",negative
harani na a bagong taon sana magbago naman kamo casureco 3,negative
paki unplugged po muna mga appliances nindo kung uda kamo voltage regulator lalo mg flat screen tv .deficil na .maraot an..po,negative
same in nabua..ngiri pati ka on and off ka kuryente ta tlagang kapa raot sa gamit!,negative
"uda basang nakaka solve kan na taga casureco ill, eversince the world begun",negative
nata kaiba kmi sadi nabua na oda kurynte 11pm ping oda na kurynte,negative
nkaka hb mn tlaga an casureco n ini..,negative
samuya nag reading kasuhapon..oy ta lintian na babayaran mi 5k mahigit.,negative
imagine ah. palibhasa hurugakon an mga meter reader ninda..,negative
pigpra tuom sna palan an mga reading me..,neutral
dai mn nag iigdi sa harong puon nag pandemya.,negative
kasuudma ing nag igdi c meter reader iyo ito si bill nyamo..,neutral
ta pg basol p daa aki q na dae kya daa kmi nag tatao nin tamang kunsomo.,negative
ay makauyamon..trabaho ninda mg reading.,negative
.basolon p c aki q.,negative
grabe perwisyo ata mg online class ya dina lugod mag klase!,negative
kanina pa pong 11pm wala ng kuryente dito po sa sta eulalia bao...,negative
11pm po uda na kuryente sto domingo nabua..,negative
ingat na sna po linemen ta mauran,positive
"sadi po iriga,what time po magkapower?",neutral
la purisima iriga brownout hanggang ngayon simula pa kagabi.,neutral
unong oras po migka power sa nabua?,neutral
akala ko nga agko na kami christmas light sadi house ta on and off ah ilaw... haha,negative
migtapos a taon uda man nagbago,negative
kun mkaistrikto kmo k bayad s tkot n mputulan ilo kun drwa a bill dwa unong pki ucep,negative
nusad sana nguwan buyong abo a mga counter sdi baao tpos amoyton serbisyo niinyo,negative
pero ta uno kaya ninda manipulation uyan na power supply kna kuryente.,negative
olol bakit alam moba f ano ginagawa ni leni,negative
gago kapala mgka pgsalita kalamo galing mo gago.,negative
mghugas kanga ng pinggan para makatolong ka sa nanay mo,negative
tanggap na nirang batugan si pduts kya si vp na inaanap.,neutral
da basang nag langoy,negative
paki translate manpo sa tagalog kun abo bikolnon mala ko po kaya kapatal kya di gets ang english language,neutral
ivan rosales atang pasada rinconada puro bareta english dapat kadi taga,negative
rincondana man po tlagang saritaon hehe,neutral
"kya ngani, maski pasada tagalog ok na sna yan.",neutral
uda basang ako mai tindihn kna binabarita ta permi english,negative
", cnsya na ta masakit adi two arog ko patal.",negative
"takot mn su mga pulis,",negative
"inulat pang mg dkol su ma distroso,",negative
"uda mn mga nagginibo,",negative
"ay unta ton., baritang rinconada pero english",negative
dapat ta kadi pasada america,neutral
pwede man kintanang rinconada na sana 0 tagalog ta nganing di pa nakadagdag kadi,negative
"the fact is hindi naman talaga niya itatapon nataranta lang talaga siya kasi akala niya nahulog yung dala niya kaya kapa siya ng kapa sa bulsa niya,",neutral
amu plan adi c nalabusan nmu sogav e nah pig tatawowan.kla qn disgrasya ing.,negative
maray ngani uyan marakop.,negative
erak man su pamilya.,negative
oda pagbabago.,negative
dpt ang tga pasada rinconda ang tinatanong ung mga nakakita mismo s pangyayari,negative
..pra tama ung ibinabalita..di kung sino2 n ing ang kinakausap n wala nung mangyari.. basta may maibalita ing..,negative
kaya kami nkakapag comment ng ganyan..t di man ang mga nka usap ng taga pasada rinconada ung nakakita mismo ng pangyayari.,negative
kaya kayo napupulaan s ibinalita.,negative
agko nayka gasgas sa tohod..,negative
malamig na rihas pa bagsak mo,negative
"paskulungan. ang resulta kawawa yung pamilya, kulang sa pasko.",negative
"imbes masaya, problemado pa. haynako. bago bago rin. tumatanda na oh,",negative
"nka shabu dapat alerto, sa ngamin na pra shabu ika buko alert!!!",negative
ung mga nka usap cguro ninyo ung mga usyusiron ing at gustong sumikat..,negative
tara man noy?,neutral
"dilaan mo boy,maraya payka",negative
panu naman kasi pinag sabay sabay kaya ganyan.,neutral
sa panahon nguwan takot n tiga maki suksukan s kadaklan n tawo...,negative
"uno raw nangyare sadi t arog kadi nangyare,",neutral
d na utob so social distancing mga gurang p pati migpila pra makakuko sna q ayuda..,negative
pwedi man sna limit lang so pinabauy muna pra s pagclaim. just saying lang po,negative
abo po kuno ku land bank gusto nira personal appearance ka mga senior citizen.,negative
dapat kiton inaatod na sana nganing d nmn mapagal so mga gurang.,negative
si papa ko ngani nadismayo sahan!,negative
"kaya raw agko nanaman nganako kadi migreport, ni nagsala hahaha",negative
"mga gurang na papapirilahun pa,",neutral
ang iba dae na kaya mag lakaw obligad0 para lang makakuang pensi0n.,negative
"panu nalang c mga dae na talaga kaya dawa mag tukaw na mga seni0r?.n0, thanks na sana?",negative
"nasa lgu ang problema,sa bao maski man igwa kian itatao sa mga tawo pero sunod pa man dyaday sinda sa protocol permi agq 1 mtr tas w f. shield and mask.",negative
"jusko po,,kaherak man kan mga gurang dpat po ini organized ng ayos d sabay sabay",negative
dapat poh talga inatod n sana kada bray para d n nag soksokan sa pila so mga gurang,neutral
pauno poh palan kung agko n siton pinang ruloyahan n kin ginhawa,negative
kulang p poh ah pension nira matatangap,negative
usad so kag igin ko soyan n nag pila,neutral
kung isi ko sana arog kiton diri kona pina iyan siton,negative
"maerak mn poh kmo mga nakakataas sa mga gurang diri pag para pasakitan ah mga gurang ,,",negative
usad pa bgo nira matangap ah pension pag para pabalik balikon pa ah mga precedente k mga sifior siton munisipyo para pag para isihon,negative
"ngata arog kan a mga tawo,",negative
pg agko ipin nao nagsusuksukan na pwd gayud mag pila lalo nguwan agko pinapautob na social distansing,negative
udma kadakol na ka positive,neutral
anggan nguwan tubod pa kamo sa kobid..,negative
ilingon ninyu tunay na nangyayare bukong sa barita sana kamo nagkara base .,neutral
sabi na kulang ya mga hospital kitun,negative
sana sadi iriga maitao nmn uda na pang bulog ah mga gurang.,negative
"ku usad ngani agko nag iyan na politiko sadi bray namu social distancing daw , pala pagbabayad namu suksukan sinda sadto lunadan nira 3 opssss share ko lang.",negative
erak man ku mga senior,negative
let the money talk begin. imbes na house to house distribution abo na mg pagal uyan na mga lgu officials,negative
. pg abot sa sintabo nalilingawan ta na ngamin ayy!!!,negative
pag mayong ngpossitive jan covid free tiga ang bula..,negative
panu po kc 13baranggay pinagsabay sabay kaya pnu pa masusunod ang protocol nyan,neutral
"2 nsa lgu ang problema , nasa pagpapadara po yan .. 5",negative
d po pa ka nerbyos baad amu p yan mag cause k pgka amo na di sinasabi ko.,negative
pag aldow na sa mga pension sarado na tibay butchok,negative
"full tank mo pirmi para maagahan ka man sa tinampo trangkilo sana gs os 3 2,",neutral
harayo man na marhay yan sa traffic sa edsa... hahaha,negative
sadi po nabua grabe man traffic 2 nyare,negative
pwede man po kaya halion an barikada kan kampo kan army sa harap kan deped diyan ta iyo an saro sa bottle neck diyan pwera pa kan sa kanto pacapitol.,negative
lagi naman traffic jan pag dating sa pili,negative
super traffic talaga subago pag pa nabua namo tapos deretso kami pili traffic din,negative
"hanggang pag uling bula pati motor nasasakitan makasingit tapos sinabayan pang uran kasi yung mga road, kita nang libo ang additional ng mga sasakyan, di man lang palakihan!",negative
arog kaini pag malupit ang hiling na may astigmatism. may asterisk hahaha,negative
may piling oras mn lang ini iyo,neutral
"isay raw yan ai, by the way congrats po ..deserve nyo po n mnalo alam qng maraming pera n rin po ang nggastos nyo bgo keo nanlo ng ganitong jocpot,,,",positive
next ako na sunod ming gana sahan.hoping,positive
sana all.sana baratuhan so gabos na nag comment,positive
so gusto sa balato iyan na lang sadto baloy,positive
congratulation sa nanalo taga bicol uragon ka....god is good all the time.,positive
may kasabay pala q kya ing apat na number ing ang sakin,neutral
congrats kristel shaila!! painom nal,positive
wow congratzpoh balato man khit pamload ing,positive
"sana ol , dawa di ako nag tataya",neutral
sana all nag gagana..,neutral
"jassica rose priolo baka ikaw yan, taga pol ka ah balato!!!",positive
wow dalawa n nanalo sa albay,positive
wag po tayong humahangad na yumaman dahil masasadlak tayo sa kapahamakan!,neutral
"kanguran, gatikot pong tyaga y pacencia.",negative
yan pong pagenergize ka 300mva kaipuhan sa panahon tangane po masynchronize y macommission sa tamang paagui ka manufacturer's recommendation for safety and dependable usage,positive
. antabay po sagcod pacencia ta mawot ta man ngamen a marhay y seguridad na serbisyo.,neutral
"dawa man maung advisory sa balatan normal na maudaan kuryente, bulok",negative
anu ba naman yan power interruption nanamn kainaman na.,negative
dapat po february 14 nalang po kuta,neutral
rudolph osma ride na gayod kan hahaha brownout gyapon,neutral
"para s mga ma date with candle lighting talaga, tapus s iba karapaan lang ta madiklum,",neutral
kung pwede sa feb 14 na sana casureco iii mamuya pa ko,neutral
wala na bang pag asa? di na nagbago! ilang taon na ganyan!,negative
ay oh. maxado si casureco,negative
baga na nasiraman naman ah casureco ah,negative
potaton 2 pa sana dana kuryente sadi kanamo giramrag naamay naman lugod adi,negative
balatan!!! pake usay man tabi ta diri na kami nakakaangos saci!,negative
pirmi na sana,neutral
umay na,negative
para riding man tabi dri pkauugak kaarani k bloy q sa tinampo dri inaabot.,neutral
casurico sbi ninyo jan 23 eh 21 ping ngown. uno mn iton?,negative
unong aldow po,neutral
serbisyo po!. newly replaced 300mva transformer po na dapat masunod so manufacturer's recommendation kin paono maenergize tangane macommission sagcod magserbisyo sadi grid ka nasasakopan na halos enterong camarines sur.,neutral
tyaga po para sa ginhawang minamawot!,positive
ipabarya..permi ng dadakulong tindaahan a babakalan kadi..hehe,negative
na lang pala or magiging milyones na ung halaga ng 5k,neutral
lan san antonio remo lalo na kung babakalon sana man limanh delemon,neutral
"lapu lapu is not a hero, he is a villain ta an purpose man sana ni fernando magallanes kun tano ta nag igdi sya was to circumnavigate the world and to spread christianity.",neutral
there was no decree yet from the king of spain to conquer. and bako man na war an nangyari sa mactan it was just an ambush.,neutral
"kawawa ang mayari pagnhulog or naiwala yan, iyaktawa yun panigurado kht nmn skn",negative
cguro mangyari dapat so sa 500 balyuhan naman so feature.,neutral
commemorative note sana man ibig sabiyon di man an migluwas sa public limited man sana po a iluluwas kiton.,neutral
sa 500 na lang c lapu lapu tanggalin na ang mga dilawan,negative
madali sana iton mataban.,negative
buti gng laging my 5 k,positive
"nku pababa ng pababa n tlga halaga ng piso,,",negative
la nang baba ka gdp ta,negative
commemorative banknote nga lang naman daw.. anu ba kau.,neutral
"kintana 2000 muna man or 1500,,.2",neutral
ay amo palan yan so sinasabing galin pa sana so gma unang hirit ko nagrrigos kami,neutral
sadto mangente resort last jan.12 congrats to the winner,positive
congratulations kaninyo. pagyamanin po ninyo so blessings na itinao kaninyo ni god.,positive
god bless your family always.,positive
god is good in all the time..congrats to the family,positive
"congrats,po kahit hinde man ako manali piro kalogar naman ang nanalo.pag palain po kyo ng my kapal.",positive
congrattz..god is good...blessings yan sanyo..phighn nyo at ingtn.,positive
"tart joy, amu di?",neutral
congrats po! kakatuwa naman kc kababayan ko nanalo. praise god!,positive
congrats kabayan q taga balatan,positive
ayy amu nbayad gayo yan nmu sdto compound q city hall ng kikibigkibig pa irak man sna maka recover man,neutral
ang problema po jan ta halos dukot nmn tiga ang primary line kan casureco sa telco post kaya suminabit ata c ladder or c payo nya.,neutral
kaparati pati mau imng ppe n hard hat ang mga trabador kan company.,negative
erak man .sana maka survive man sya... a.a,negative
herak man ingat tabi kamo..,negative
lringat sana tabi permi..,positive
personal protective equipment must be in place.,positive
su supplier ah rakupon tabi. amuyan dapat tinutumbok ninyo.,neutral
pano mkaka talon palaka eh may takip ata takure,neutral
dakol p sadi baao kuno raw masampulan ta nganing pumundo na nakakasira ng mga,neutral
"kabataan nakikita mga ginagawa ng magulang bad influence,",negative
"kon isi yan dakol sa baao druga nya tauno ta pinababayaan ka mayor saka mga pulis,",negative
kin iton nagsisinapot kud pansit bato na sana kamo pangla amo ninyo ipagbariwas,negative
bagana sa pati kapulisan pwede pa ninyong paiskoron. w,negative
kesa man kiton stepping stone kintana kinding bawal.,negative
amu mandi baao mga dri napondo kading pag tinda shabu dri pa jaday naubos dakol,negative
na tawo nararaot dahil kiton n shabu iton uno man raw karayan kiton. maski agko tol tol,negative
na tawo nagdadara kiton mga bisyo iton. mag agwanta pa kmo.,negative
pdi man mabuhay na uda bisyo sa buhay.,positive
siton baloy ni manay verginia.,neutral
pirmi na sanang taga baao ang sangkot sa droga,negative
ok lang yan bailbond ka 200k kung wala pahinga ka muna mga 1 year 20k na lang yan,positive
pag shabu.perming baao.anyare,negative
pangalanan nyo pra mabisto mga ugok.,negative
dapat kan subsuban man na actual paryo ka marijuana..,negative
ipabakal nanggad...,neutral
in dri itatago snayan nira tas.,neutral
must to make move mga leader tabi mag isip solusyon ka problema bokong poro sana,positive
ono basang a ginigibo nindo mga under oath nag se sweldo iwag man tabi kamu,negative
sigi pa kamo,positive
bko man xanang xadi baao kdakol man xa ibang lugar minxan ngane tga naga xadi,neutral
"baao narrakop,",neutral
big time huh!,positive
kadakulon ang matatalino igdi.,positive
nata lakapasil man sana kun habo nindo magpa inject di dae kamu magpila.,negative
matatalinong patal cge pang tahol garo ido.,negative
mga nagcocoment dito ng mga negative mga di nakaranas sa abroad at walang,negative
...sa abroad walang pinipili basta may vaccine malunasan lang problemsma ng covid...,neutral
pero para sakin ang covid ay isang kasinungalingan sa dami kong nakasalamuha na ibang lahi na positive kuno hanggang ngaun nakauwi ako negative,neutral
sabi ngani baga kitang mga taga bicol kung mamatay sa aga ngunyana...,negative
pila lang mga dds sa donation kuno,neutral
mga oa iba kung ayaw niyo di wag...,negative
dami dada nun na tagal ng bakuna tapus ngayun puro din dada..,negative
dinaman siguro kau pipilitin eh...,neutral
txka kung alam niyo naman na ok pakiramdam niyo di wag kau paturok ganun lang yun..,neutral
su leni ninyo mig gobernador na daa ta mayo na ma iiscam sa 2022 patal kaya.,negative
bakit kailangan gamitin ang 50 effectivety rate. sana dn nlang s 95 sayang ang pera,negative
pero pag sa tuta kapit na kapit kase walang masabe,negative
bkadakol ka matatalino sadi bicol yoo,positive
ka mga oa.,negative
sadi ngani desyerto ultimo hari ag boung pamilya china made an ginamit na vaccine...,neutral
mga dds una na kayo magpa turok ng bakuna para magka alaman na.hahaha,neutral
kung ayaw nyu magpaturok tumahimik kayo kasi di nman kayo pinipilit...,negative
wag nyu lang sisihin ang gobyerno pag nagkasakit kayo...tssssk,negative
cris gord'z agko man kan sadi bicol dapat dri n nagkuku sa made in china,negative
michael razon hertez mgdudukdok pa kadto,neutral
cris gord'z dibali dri man itorok mg kaon sna.,neutral
bosogpa.,positive
sigurado pa uda side efect,positive
hanapin ang agent qu van na nilunadan nira ta isi so mga detalye kadto papanaguton qu abala ag perwisyo,negative
pauno palan ken agqu nangyare kanda maraot sorry ag thank you,negative
jhon portugal pontillas pakitxt so plate no.,neutral
ta paabangan ta ko mga tropa na nagcheck point!!!,negative
pukpukon ko payo niral!!,negative
"jhon portugal pontillas, malaka familiar ka middle name mo portugal kadakol portugal sa bray san jose nabua.",neutral
"manduya man palan ika parehas tayo, insan.",positive
"jhon portugal pontillas, ay masi an april palan bday mo, april din ako hehehe...",positive
buko pong inofferan na sira sa malunadan ku usad gad na kapitan from nabua.,neutral
"tibaad makauli na sira , stay safe!",positive
erykah coraldebance kahit po si kgwd junjay nag oofer po ng masakyan nila.,neutral
ung kaibigan q din sa laguna ipinost sira sapon na ramrag pig share q po sa katinik kaso sabi q friend q sinabiyan na daw na di mag galin.,neutral
nag galin pa rin daw tapos tinanggal na su post niya tinanggal q na din su post q.,neutral
nag pm na ing aq kaykgwd junjay,neutral
then suddenly pinost naman po adi ku rider sa panda,neutral
pig share q naman kay kgwd sabi niya nagpaiyan iya sa mga autoridad para masundo adi sa calamba kaso uda na daw.,neutral
tapos agko po nag post na scam daw po adi..,neutral
not so sure po pero baga na kaya nagtutugma po sadto comment kadto nagsabi.,neutral
tas sabi po sadi nag agi sna ..,neutral
pero sabi ku mkabyad kanda na nag galin sa calamba naglunad daw po sa jip.,neutral
so sad po kin matuod na amo yan mudos nira despite po ka kadakol kanda gustong tumabang.,neutral
"gelai aigel mendez ay grabe man po palan kin modus sana yan,",negative
baad man diri ta kadakol ka gusto tumabang,positive
erykah coraldebance truths mam kadakol po gusto kanda magtabang..,positive
si kgwd junjay fortuna itself po gusto xa iparescue..,positive
nakikipag coordinate po kami sadto nagpost kanda na barkada q taga bula adto .,neutral
xempre kabbyan baya kaya nagmmkulog man kaso sinabihan na po ngani uno na ttabangan na sira ni kgwd nag galin daw.,neutral
kaya nangalas aq talga ta ata irerescue na nag galin pa.,negative
tapos napag isip isip q su comment ku usad sadto ibang group.,neutral
tapos agko pa nagpost na 4 years ago daw arog man kan istorya arog,neutral
imagine kin matuod po kaya talaga na nag aayat sira sa tabang,neutral
tauno ta di sira nag ulat sa rescue,negative
.pinaiyanan pa po sira sa autoridad ni kgwd fortuna.,neutral
nagpabalik balik sadto tapos uda naman sira.,neutral
tapos nguwan naman nabyad q su post ku kapitan nira buko daw po iton na lehitimong taga nabua..,neutral
taga quezon daw po an nagsabi ing po na san na gustong mag istar kaya po tinawan sa bray,neutral
i'd ta uda bsang po pagkakilanlan..,negative
so sad po na despite of the people na gusto kanda magtabang modus man sna palan.,negative
minesage q na din po si kgwd junjay regarding kadi.,neutral
namumundo man ngani iya kin matuod daw po na modus ing adi kadi darw,negative
dapat so kag sadiri ko van managot ngata di isi ko driver kin pira pasahero nia ta basta nlang nag galin,negative
ibalik na ke ang byahe ng bus..,neutral
ganon din namn..,neutral
ising udapa su iba mag galin ka oda puso tapos su mga gamit isi na nasa sasakyan nag galin pa nanggad na oda su kagsaderi,negative
erak man diri isi kong uno nasa isip ko driver na oda considerasyon.,negative
"kabayong driver an ka van, ikang dimungkog ika ah mabayad ko sna ka ta ,",negative
patikbaloon ko na nman ika.. !,negative
"ay irakman dapat po bago otro mag andar baydon a pasahiro kong kumpleto,",negative
"mabalos sa mga food panda, god bless you,",positive
amo ding pangyyari a nkakapagpa tulo ng hula ko..,negative
ngud ko kaya naranasan man mag agi pauli sadi bikol start manila..,neutral
pero in god grace agko mga nagtabang kanya.,positive
salamat sa mga tawong matabangon sa kapwa arog ka mga panda riders na yan..,positive
salute to all the panda riders na tumulongg hain na daw an van driver dae lamang hiniling so saiyang pasaheros,positive
d mn basang naerak su driver ku van.,negative
agko mn po cguro number dpt pigtawagan ninda.,neutral
grabe man na driver yan ku van d basang nag isip na nag plite man kin laka mal tas babayaan sna .,negative
erak man,negative
erak mn ni kiton mga ka taga nabua na paryo ko salamat po sa ngbigay ng food gods,negative
bless maan kmo po 2,positive
siguro nguwan na mga nguwan nag iisip nmn adtong driver ko ginibo nya...,neutral
sana po di na pangarugan k iba pang mga driver ta siton.,negative
galin pa sana kami sapon sa lipa batangas tapos sto tomas nag deliver.,neutral
diri kuman an nabayad.,neutral
barombado so driver ko van.,negative
pigsimpuran man an nya ginibo nyang arogkan sa kapwa.....,negative
anuman hanapbuhay van driver kapag hinaluan sa katarantaduhan agko katumbas na karma...,negative
kada supog atang colorum man.,negative
baka mabangga n sna pag uda n sakay pasahero,neutral
makarma man siya,negative
kung igwa na kuta ng bus pauli sa bikol dai iyan mangyayari sainda kundi tano daw ta habo pang tugutan ang mga bus na magbiyahi haling manila pasiring sa bikol ta hirak man.,negative
uda supog na van!!!,negative
tibaad a ginibu mo kade darwa di ibalik kanimo sa sobral,negative
erak man!,negative
tibaad makauli na kamo..,positive
su van tibaad bisto pa ninyo!,negative
dapat kn matawan leksyon!!!,negative
ka imposibli man na diri marisa na kulang pasahero.,negative
pakitxt po plate ta pasilip ko sadi malibay terminal bka sadi nagpaparadal!!!,neutral
"dapat aware ang driver kung llan pasahero nia,at check before maglarga ta nagbayad madali mn ing an anapon ninda su nag pasakay sainda .",neutral
iyu ito mka kua .,neutral
aram n kulang p su lunad palargahun mn kn driver tanga mn an ..,negative
dapat ma recover mn ninda mga gamit ninda.,neutral
erak man di man basang minangnu ko driver kun komplerto na su pasahero niya.,negative
sa totoo lang kung may restro lang motor ko sinundo ko mga iyan.,positive
maraot na mga tawo yan ta iwatak o bayaan nira pasahero nya .,negative
mabalos so mga na agyan na nagtao sa tabang,positive
uda mn bsang malasakit s van...,negative
dpat kdto panuguton q perwisyong tinao...k mag ngud.,negative
sa agko mairak man na darwa kung kababayan pakilunad na tabi kin on da way man sana kamo,positive
kainit payo.,negative
mnsan dw nriribongan aq dgd s pasada ta bikolnonrinconada ang caption english,negative
sana makaoli na sira at maaksyunan tulos ka igu nabua.. ingat po.,positive
"grabe man da bsang mala sakit su mga kaiba nan ag driver.. hay naku,",negative
pag makua so van gadanun an driber sa kudot,negative
baka sinayang iwanan sila napaka gago ng driver.,negative
bwisita palan su masimot! para man pirang taon na sana itatagal ka mga gurang sadi kinaban giniraan mo pa! .yes to death penalty!!!,negative
tangina mo! maray nganing narakop nakang pagsusulit ika!,negative
dapat kanimo kung uno man ginibo mo ko darwa amo man gbuhon kanimo!,negative
"kong ano inutang yun din ang kabayaran, yes to death penalty!",negative
maray sanang nakapag inging pa bago nagraan.,negative
"tana abswelto ton pinakaon na,pina turog pa. esus marsep",negative
"oda gaud yan lola lolo na ng mamahal ina ama,",negative
"mga ngod, gurng na arog pakan dpat sakanya ipadanas ang gaono kakulog kan cnapit ka mg agom",negative
tapos mahapot ang mga tao tanu minsan dae o habu na mgtabang kan iba.,neutral
eu na tabi ni ang perfect example,neutral
hayop ka dapat kanimu tadtaron sa pino para maranasan mo man so ginibu mo ko mga gurang.,negative
bangag ika toy grabeh d nayka nairak kdi mga gurang eto itsura mu d mig gibo samaray hudas barabas ika,negative
pistiha ng tawhana oi wala may kalooy sa mga tiguwang.,negative
hoi palooy looy dayon sa nawng ang boang.,negative
"ari ug cebu dong ky panitan kang bubi,",negative
dina naawang animal nato..matatanda n pinatay mupa..,negative
yang paragadan bitayon na dae kaipohan digdi sa kinaban an maraot na tawo,neutral
tadtarin din paunti unti hanggang sa mawalan ng hininga ang animal nayan,negative
parang wala sa huwisyo tong lalake na to.,negative
jusko di na naerak ku mga gurang na nasa dapit hapon na mga buway .,negative
pangyayari grabe dawa tratuhin ng mabuti ang isang tao ngaun wla ng sinasanto!!,negative
pinakain mu sia pala papatay sau,negative
hay naku..grbe na naiicp k tawo nguwan..,negative
mabulok mn s kulungan su nggibo kan,negative
hinuli nyo pa dapat binaril nyo na palamunin pa yan ng gobyerno,negative
amo yn so pinakaon at pinainom muna traydor p din.,negative
"parang singapore lang, arog dapat kaiyan ang hinahatulan bitay!!!!!",negative
yes to death penalty...,negative
shierlyien ann bagalacsa aroroy baga kuno adi,neutral
"hayop na murderer toh,pinakain at pinatulog pa ng matatanda,nagawa pa nya yun.",negative
kapal kn lalawgon mong hinayopak ka pinadagos pinakakan ka na eu pa yan binalos mong hudas ka,negative
erak mn kn mga biktima ata mga gurang na mnga ga patayin den yan hayup hayup pa sa hayup demonyu jablo patayin din yan,negative
"pinakain na pinatuloy pa tapos nangagat pa ganyan na tao, wag na patagalin para hindi tularan.. wawa naman ng pinatay nya.",negative
napaka walang hiya matapos k kupkupin at palamunin ganyan pa gagawin mu,negative
katayon na a kriminal na an,negative
"manlaban kana para sumunod kna sa mga pinatay mo, hudas ka",negative
firing dpat sa hayup na yan,negative
patayen ning pag napatunayan khit ang langet ay mauunawaan.,negative
grabe n nmn oh..pinakain at pinatulog n nga ginawan p ng msama.s,negative
masbate naman to...,neutral
gibon man kin uno pinag gibo!,negative
"walang utang na loob ,,cguro may tama utak nyan kabata na criminal.",negative
pasakan nang nyog yan hayop na yan,negative
"siguro po so nabaritang rapist sa casugad at may gibo kayan sa lubgan usad sanang tawo .nagtakot na kung sige kan libot libot pag kinikiragan na... sana po pirmi mag libot aa mga tanod , para sa proteksyon ka lambang usad a.",neutral
anna olleres gomez tga sari an na rape?,neutral
anna olleres gomez ai amu kuno pa tan?,neutral
anna olleres gomez dapat kiton guranon na pag narakop,negative
possible po tiga na uusad ah kag gibo kan...saka isi nya kung sari dadarahon ah tawo,neutral
anna olleres gomez same case po ko nangyari sa casugad talga.sana marakop na ya hayupan n uyan.,negative
aicrag recag nyhix amo po ngani sana magkausad man aa mga kalalakiyan na magbantay pag dis oras na para marakop na hayp na an,negative
"just want to ask, alam ko naman po na after 24 hours palang gagawa ng action ng",neutral
"ating authority kasi yun ang protocol, hindi po ba pwede na palitan ang protocol na yan",neutral
"atleast pababain kasi kalimitan po late na natin naaabutan ng crime tapos na, wala na. if",neutral
