Sentiment,Label
kasuudma igdi c meter reader bill nyamo,neutral
pg basol p daa aki q dae daa kmi tatao tamang kunsomo,negative
makauyamon trabaho ninda mg reading,negative
basolon p c aki q,negative
grabe perwisyo ata mg online class dina lugod,negative
kanina pong 11pm wala kuryente sta eulalia bao,negative
11pm uda kuryente sto domingo,negative
ingat linemen mauran,positive
iriga what time magkapower,neutral
purisima iriga brownout simula kagabi,neutral
unong oras migka power,neutral
akala nga christmas light house on and off ilaw haha,negative
migtapos taon uda nagbago,negative
mkaistrikto kmo bayad tkot mputulan ilo drwa bill dwa unong pki ucep,negative
nusad buyong abo counter sdi baao tpos amoyton serbisyo niinyo,negative
ninda manipulation uyan power supply kna kuryente,negative
olol alam moba f leni,negative
gago kapala mgka pgsalita kalamo galing gago,negative
mghugas kanga pinggan makatolong,negative
tanggap batugan pduts vp inaanap,neutral
da langoy,negative
paki translate manpo tagalog abo bikolnon kapatal gets english language,neutral
ivan rosales atang puro bareta english,negative
rincondana tlagang saritaon hehe,neutral
maski tagalog ok,neutral
uda mai tindihn kna binabarita permi english,negative
cnsya masakit two patal,negative
takot pulis,negative
inulat mg dkol ma distroso,negative
uda nagginibo,negative
unta ton baritang english,negative
america,neutral
pwede kintanang 0 tagalog nakadagdag,negative
the fact is itatapon nataranta kasi akala nahulog yung dala kapa kapa bulsa,neutral
amu plan c nalabusan nmu sogav e nah tatawowan kla qn disgrasya,negative
maray uyan marakop,negative
erak,negative
oda pagbabago,negative
dpt tga rinconda tinatanong ung nakakita,negative
pra tama ung ibinabalita sino2 kinakausap wala nung mangyari basta maibalita,negative
nkakapag comment ganyan t nka usap ung nakakita,negative
kayo napupulaan ibinalita,negative
nayka gasgas tohod,negative
malamig rihas bagsak,negative
paskulungan resulta kawawa yung pasko,negative
imbes masaya problemado haynako rin tumatanda oh,negative
nka shabu alerto pra shabu buko alert,negative
ung nka usap cguro ung usyusiron gustong sumikat,negative
tara noy,neutral
dilaan boy maraya payka,negative
panu kasi pinag sabay sabay ganyan,neutral
takot tiga maki suksukan kadaklan,negative
nangyare t nangyare,neutral
utob gurang p migpila pra makakuko q ayuda,negative
pwedi limit pinabauy muna pra pagclaim just saying,negative
abo land bank personal appearance senior citizen,negative
inaatod nmn mapagal gurang,negative
papa nadismayo sahan,negative
nanaman nganako migreport nagsala hahaha,negative
gurang papapirilahun,neutral
dae lakaw obligad0 makakuang pensi0n,negative
panu nalang c dae tukaw seni0r n0 thanks,negative
lgu problema bao maski igwa kian itatao sunod dyaday sinda protocol permi agq 1 mtr tas w f shield and mask,negative
jusko kaherak gurang dpat organized ayos sabay sabay,negative
poh talga inatod bray soksokan pila gurang,neutral
poh siton pinang ruloyahan ginhawa,negative
p poh pension matatangap,negative
soyan pila,neutral
diri kona pina siton,negative
maerak poh kmo nakakataas gurang diri pasakitan gurang,negative
bgo matangap pension pabalik balikon precedente sifior siton munisipyo isihon,negative
ngata,negative
pg ipin nao nagsusuksukan pwd gayud pila pinapautob distansing,negative
udma kadakol positive,neutral
tubod kobid,negative
ilingon ninyu tunay nangyayare bukong barita nagkara,neutral
hospital kitun,negative
iriga maitao nmn uda bulog gurang,negative
politiko bray namu daw pagbabayad namu suksukan sinda lunadan 3 opssss share,negative
erak senior,negative
let the money talk begin imbes house house distribution abo mg pagal uyan lgu officials,negative
pg abot sintabo nalilingawan ayy,negative
mayong ngpossitive jan covid free tiga bula,negative
panu kc 13baranggay pinagsabay sabay pnu masusunod protocol nyan,neutral
nsa lgu problema pagpapadara 5,negative
nerbyos baad amu p cause pgka,negative
aldow pension sarado tibay butchok,negative
full tank pirmi maagahan tinampo trangkilo gs os 3 2,neutral
harayo marhay traffic edsa hahaha,negative
grabe traffic 2 nyare,negative
pwede halion barikada kampo army harap deped diyan saro bottle neck diyan pwera kanto pacapitol,negative
lagi traffic jan dating pili,negative
super traffic subago deretso pili traffic,negative
uling bula motor nasasakitan makasingit sinabayan kasi yung road libo additional sasakyan palakihan,negative
kaini malupit hiling astigmatism asterisk hahaha,negative
piling oras,neutral
ai by the way congrats deserve nyo mnalo alam qng maraming pera rin nggastos nyo bgo keo nanlo ganitong jocpot,positive
next sunod ming gana sahan hoping,positive
all baratuhan gabos comment,positive
balato,positive
congratulation nanalo bicol uragon god is good all the time,positive
kasabay q number sakin,neutral
congrats kristel shaila painom nal,positive
wow congratzpoh balato khit pamload,positive
ol tataya,neutral
all gagana,neutral
jassica rose priolo pol balato,positive
wow nanalo albay,positive
wag tayong humahangad yumaman masasadlak kapahamakan,neutral
kanguran gatikot pong tyaga y pacencia,negative
pong pagenergize 300mva kaipuhan tangane masynchronize y macommission tamang paagui manufacturer recommendation for safety and dependable usage,positive
antabay sagcod pacencia mawot ngamen marhay y seguridad serbisyo,neutral
maung advisory balatan normal maudaan kuryente bulok,negative
anu ba power interruption nanamn kainaman,negative
february 14 nalang kuta,neutral
ride gayod hahaha brownout gyapon,neutral
ma date with candle lighting tapus karapaan madiklum,neutral
pwede feb 14 casureco iii mamuya,neutral
wala bang asa nagbago ilang taon ganyan,negative
oh maxado casureco,negative
nasiraman casureco,negative
potaton 2 dana kuryente kanamo giramrag naamay lugod,negative
balatan pake usay diri nakakaangos saci,negative
pirmi umay,neutral
riding dri pkauugak kaarani bloy q tinampo dri inaabot,neutral
casurico sbi jan 23 eh 21 ping ngown,negative
unong aldow,neutral
serbisyo newly replaced 300mva transformer masunod manufacturer recommendation paono maenergize tangane macommission sagcod magserbisyo grid nasasakopan halos enterong,neutral
tyaga ginhawang minamawot,positive
ipabarya permi dadakulong tindaahan babakalan hehe,negative
or magiging milyones ung halaga 5k,neutral
lan antonio remo babakalon limanh delemon,neutral
lapu lapu is not hero he is villain purpose fernando magallanes tano igdi sya was circumnavigate the world and spread christianity,neutral
there was no decree yet from the king of spain conquer and bako war mactan it was just ambush,neutral
kawawa mayari pagnhulog or naiwala iyaktawa yun panigurado kht nmn skn,negative
cguro mangyari 500 balyuhan feature,neutral
commemorative note sabiyon migluwas public limited iluluwas,neutral
500 c lapu lapu tanggalin dilawan,negative
madali mataban,negative
buti gng laging my 5,positive
nku tlga halaga piso,negative
baba gdp,negative
commemorative banknote nga daw anu ba kau,neutral
kintana 2000 muna or 1500 2,neutral
sinasabing gma hirit nagrrigos,neutral
mangente resort last jan 12 congrats the winner,positive
congratulations kaninyo pagyamanin blessings itinao kaninyo god,positive
god bless your family always,positive
god is good in all the time congrats the family,positive
congrats hinde manali piro kalogar nanalo palain kyo my kapal,positive
congrattz god is good blessings sanyo phighn nyo ingtn,positive
congrats kakatuwa kc kababayan nanalo praise god,positive
congrats kabayan q balatan,positive
ayy amu nbayad gayo nmu sdto compound q city hall kikibigkibig irak maka recover,neutral
problema jan halos dukot nmn tiga primary line casureco telco post suminabit ata c ladder or c payo nya,neutral
kaparati mau imng ppe hard hat trabador company,negative
erak maka survive sya,negative
herak ingat,negative
lringat permi,positive
personal protective equipment must be in place,positive
supplier rakupon amuyan tinutumbok,neutral
pano mkaka talon palaka eh takip ata takure,neutral
dakol p baao masampulan pumundo nakakasira,neutral
kabataan nakikita magulang bad influence,negative
kon dakol baao druga nya pinababayaan pulis,negative
nagsisinapot kud pansit bato pangla ipagbariwas,negative
kapulisan pwede ninyong paiskoron w,negative
kesa stepping stone kintana kinding bawal,negative
amu mandi baao dri napondo tinda shabu dri jaday naubos dakol,negative
nararaot shabu karayan maski tol tol,negative
nagdadara bisyo agwanta kmo,negative
pdi mabuhay uda bisyo buhay,positive
siton manay verginia,neutral
pirmi baao sangkot droga,negative
ok bailbond 200k wala pahinga muna 1 year 20k,positive
shabu perming baao anyare,negative
pangalanan nyo pra mabisto ugok,negative
subsuban actual paryo marijuana,negative
ipabakal,neutral
in dri itatago snayan tas,neutral
must make move leader isip solusyon problema bokong poro,positive
ono ginigibo nindo under oath se sweldo iwag kamu,negative
bko xanang xadi baao kdakol xa minxan ngane tga naga xadi,neutral
baao narrakop,neutral
sigi big time huh,positive
kadakulon matatalino igdi,positive
nata lakapasil habo nindo magpa inject dae kamu magpila,negative
matatalinong patal cge tahol garo ido,negative
nagcocoment negative nakaranas abroad,negative
abroad pinipili basta vaccine malunasan problemsma covid,neutral
sakin covid kasinungalingan dami nakasalamuha lahi positive ngaun nakauwi negative,neutral
kitang bicol mamatay aga ngunyana,negative
pila dds donation,neutral
oa ayaw niyo wag,negative
dami dada nun tagal bakuna tapus ngayun puro dada,negative
dinaman siguro kau pipilitin eh,neutral
txka alam niyo ok pakiramdam niyo wag kau paturok ganun yun,neutral
leni gobernador daa mayo ma iiscam 2022 patal,negative
gamitin 50 effectivety rate dn nlang 95 sayang pera,negative
tuta kapit kapit kase masabe,negative
bkadakol matatalino bicol yoo,positive
desyerto ultimo hari boung china made ginamit vaccine,neutral
dds kayo magpa turok bakuna magka alaman hahaha,neutral
ayaw nyu magpaturok tumahimik kayo kasi nman kayo pinipilit,negative
wag nyu sisihin gobyerno nagkasakit kayo tssssk,negative
bicol dri nagkuku made in china,negative
mgdudukdok,neutral
dibali dri itorok mg kaon bosogpa,neutral
sigurado uda side efect,positive
hanapin agent qu van nilunadan detalye papanaguton qu abala perwisyo,negative
ken agqu nangyare maraot sorry thank you,negative
pakitxt plate no,neutral
paabangan tropa nagcheck point,negative
pukpukon payo niral,negative
malaka familiar middle name portugal kadakol portugal bray jose,neutral
manduya parehas insan,positive
masi april bday april hehehe,positive
buko pong inofferan malunadan gad kapitan from,neutral
tibaad makauli stay safe,positive
kgwd junjay oofer masakyan,neutral
ung kaibigan q laguna ipinost sapon ramrag share q katinik kaso q friend q sinabiyan daw,neutral
rin daw tinanggal post tinanggal q post q,neutral
pm aq kaykgwd junjay,neutral
share q kay kgwd nagpaiyan autoridad masundo calamba kaso uda daw,neutral
post scam daw,neutral
tas agi,neutral
mkabyad calamba naglunad daw jip,neutral
sad matuod mudos despite kadakol gustong tumabang,neutral
grabe modus,negative
baad diri kadakol tumabang,positive
truths mam kadakol magtabang,positive
kgwd junjay fortuna itself xa iparescue,positive
nakikipag coordinate nagpost barkada q bula,neutral
xempre kabbyan baya nagmmkulog kaso sinabihan ttabangan kgwd daw,neutral
nangalas aq talga ata irerescue,negative
napag isip isip q comment group,neutral
nagpost 4 years ago daw,neutral
imagine matuod aayat tabang,neutral
ulat rescue,negative
pinaiyanan autoridad kgwd fortuna,neutral
nagpabalik balik uda,neutral
nabyad q post kapitan buko daw lehitimong,neutral
quezon daw nagsabi gustong istar tinawan brgy i uda bsang pagkakilanlan,neutral
minesage q kgwd junjay regarding,neutral
namumundo matuod daw modus darw,negative
van managot ngata driver pira pasahero nia basta nlang,negative
ibalik ke byahe bus,neutral
ising udapa oda sasakyan oda kagsaderi,negative
erak diri isip driver oda considerasyon,negative
kabayong driver van ikang dimungkog mabayad,negative
patikbaloon nman,negative
irakman otro andar baydon pasahiro kumpleto,negative
mabalos food panda god bless you,positive
ding pangyyari nkakapagpa tulo hula,negative
ngud naranasan agi pauli bikol start manila,neutral
in god grace nagtabang,positive
salamat matabangon panda riders,positive
salute all the panda riders tumulongg hain daw van driver dae hiniling saiyang pasaheros,positive
naerak driver van,negative
cguro number dpt pigtawagan ninda,neutral
grabe driver van isip plite laka mal tas babayaan,negative
erak paryo salamat ngbigay food gods,negative
bless maan kmo 2,positive
siguro iisip nmn adtong driver ginibo nya,neutral
pangarugan driver siton,negative
sapon lipa batangas sto tomas deliver,neutral
diri kuman,neutral
barombado driver van,negative
pigsimpuran nya ginibo nyang arogkan,negative
anuman hanapbuhay van driver hinaluan katarantaduhan katumbas karma,negative
supog atang colorum,negative
mabangga uda sakay pasahero,neutral
makarma,negative
igwa kuta bus pauli bikol dai mangyayari sainda kundi tano daw habo tugutan bus magbiyahi haling manila pasiring bikol hirak,negative
uda supog van,negative
tibaad kade darwa ibalik sobral erak,negative
tibaad makauli,positive
van tibaad bisto,negative
kn matawan,negative
imposibli diri marisa pasahero,negative
pakitxt plate pasilip malibay terminal bka nagpaparadal,neutral
aware driver llan pasahero nia check before maglarga nagbayad madali anapon ninda pasakay sainda,neutral
iyu mka kua,neutral
aram p lunad palargahun kn driver tanga,negative
ma recover ninda ninda,neutral
erak minangnu driver komplerto pasahero,negative
totoo restro motor sinundo,positive
maraot iwatak bayaan pasahero nya,negative
mabalos agyan nagtao tabang,positive
uda bsang malasakit van,negative
dpat kdto panuguton q perwisyong tinao ngud,negative
mairak darwa kababayan pakilunad on da way kainit payo,positive
mnsan dw nriribongan aq dgd bikolnonrinconada caption english,negative
makaoli maaksyunan igu ingat,positive
grabe da bsang sakit kaiba nan driver hay naku,negative
makua van gadanun driber kudot,negative
sinayang iwanan gago driver,negative
bwisita masimot taon itatagal gurang kinaban giniraan yes death penalty,negative
tangina maray narakop nakang pagsusulit,negative
ginibo darwa gbuhon,negative
inutang yun kabayaran yes death penalty,negative
maray nakapag inging nagraan,negative
tana abswelto ton pinakaon pina turog esus marsep,negative
oda gaud lolo mamahal ina ama,negative
ngod gurng pakan dpat sakanya ipadanas gaono kakulog cnapit mg agom,negative
mahapot tao tanu dae habu mgtabang,neutral
perfect example,positive
hayop kanimu tadtaron pino maranasan gurang,negative
bangag toy grabeh nayka nairak kdi gurang eto itsura mu gibo samaray hudas barabas,negative
hoi palooy looy dayon nawng boang,negative
dina naawang animal nato matatanda pinatay mupa,negative
yang paragadan bitayon dae kaipohan digdi kinaban maraot,neutral
tadtarin paunti unti mawalan hininga animal nayan,negative
parang wala huwisyo tong lalake,negative
jusko naerak gurang dapit hapon buway,negative
grabe tratuhin mabuti tao ngaun wla sinasanto,negative
pinakain mu sia papatay sau,negative
hay naku grbe naiicp,negative
mabulok kulungan nggibo,negative
hinuli nyo binaril nyo palamunin gobyerno,negative
yn pinakaon pinainom muna traydor p,negative
parang singapore kaiyan hinahatulan bitay,negative
yes death penalty,negative
aroroy,neutral
hayop murderer toh pinakain pinatulog matatanda nagawa nya yun,negative
kapal kn lalawgon hinayopak pinadagos pinakakan binalos hudas,negative
erak kn biktima ata gurang mnga ga patayin den hayup hayup hayup demonyu jablo patayin,negative
pinakain pinatuloy nangagat ganyan tao wag patagalin tularan wawa pinatay nya,negative
hiya matapos kupkupin palamunin ganyan mu,negative
katayon kriminal,negative
manlaban kana sumunod kna pinatay hudas,negative
firing dpat hayup,negative
patayen ning napatunayan khit langet mauunawaan,negative
grabe nmn oh pinakain pinatulog nga ginawan p msama,negative
masbate,neutral
gibon pinag gibo,negative
utang loob cguro tama utak nyan kabata criminal,negative
pasakan nyog hayop,negative
siguro nabaritang rapist casugad gibo kayan lubgan nagtakot sige libot libot kinikiragan pirmi libot aa tanod proteksyon,neutral
tga rape,neutral
ai amu tan,neutral
guranon narakop,negative
possible tiga uusad gibo nya dadarahon,neutral
same case casugad talga marakop hayupan uyan,negative
magkausad aa kalalakiyan magbantay dis oras marakop hayp,negative
kano gad admin sige english naisiyan,negative
makamit lugod q rape hustisya,positive
hay naykuman safe loog nadukot,negative
pasiguro parents panarado,neutral
iwatak magusad instruksiyunan samaray magbukas pinto magbabaoy,neutral
sabihan magsirang muna bistuhon,neutral
diri bisto pagbuksan,neutral
nowadays uda bisto bisto miggibo kademonyohan,negative
maray sabihan dina magbukas sisay,neutral
erinsiya buku no way,neutral
diyos sanaman matawan justice natuturog basta nlang kinuko,negative
mai sketch itsura,neutral
nagsarita 0 magtao report nakailing dri mkatakot,neutral
maray ginuraan,positive
pagnarakop guranon putulan payo payo tani buhay pagdusahan kamanyakan,negative
uri admin barita ehh galaw galaw hahahhaha,negative
my god bka bistado gibo knya,negative
isumbong marakup uyan,negative
dre nman lugod maka gibo kaiginan kababaehan,negative
uda gibo,negative
pkadayan huhu katakot 43 knato makatakot parang gad poh kaggebo dnman naerak ai 12 yrsold ping grbe,negative
jusko eringaat kabataan pg gabe dri mgpra bragbarag,negative
sya gwa nyan ppuntahin tan dto iriga pupugot ulo nyan,negative
punyeta sagupain my llagyan,negative
seguro adik punyeta ttalupan kta buhay,negative
omg irak,negative
grabe tiga ngowan matakot mnga babayaan mnga igen,negative
gad naoodang egin napost sdi fb,neutral
kenshin lingam grabe nmn wia tiga ptwad hndi naawa bata,negative
malapit dto yn sunod bayan,neutral
dpat bitayon bula n2man tga bula ese sobra manyak,negative
kontento agom,negative
nayku gosgos kulapos isip,negative
jan bula rapist baana yn madakop yn baad makabiktima yn iringatan aki,negative
ingat permi nayko tiga haiks keep safe,negative
pglikay rw kamu malala bga cton puro pti babaye cton,negative
praise the lord naway sumalangit kaluluwa,positive
jusko nakakagibo mismong subrang tigang libog ata,neutral
gayod tatao makarakop malinig pamamaraan,neutral
irak,negative
ingat kmu cton alerto,positive
butangan saradora pintuan,neutral
oh gaud pigshare naanap kanubnuban,neutral
erak dpat gaposon pla egood during marakop,negative
kaorag mayo pangaran suspek,neutral
demonyo gibo dpat kaiyan bitayon pg nadakop,negative
maray pagnarakop gudan lusto gudgudun centro qng sya maraya,negative
tian takot,negative
gadanon nalang maintindihan papa god,negative
irak,negative
amu lubgan,neutral
dire sige barag,neutral
dire paka sutils,neutral
justice anak pinsan aaa,negative
malanang takot ga,negative
ingat dimag dayan,positive
kaorag manyakis dakol prob mundo inotogan,negative
katayin yung gawa,negative
omg ingat2 dna safe,neutral
tao masyadong nerbyoso yung lespu haay,neutral
pahalagahan kintana itu agom nyong pulis maray sweldo ngowan pandemya,neutral
lala maricel nakamamati gatol uda prenow,neutral
amuyan nadara kagow dinadara suka magatul tiga nagpakagow nasana dinagsan,neutral
lwas pagkakasala,neutral
haha ate ghenie e phyr ulok kd comment,positive
dinaog nalipaye,negative
okey nga abogado ok,neutral
mapatay mapa babae or naaktuhan ba alangan magpalakpak,neutral
clalaki injiputan harong ninda tama ndi pamarisan,negative
kasal cton kabit kabitan magtaga ingat ingat maarog,neutral
hehehehe,positive
okey congrats sgt,positive
kasal protektado sya batas eh kulong,neutral
ung kawawang pulis niloko asawa,neutral
tama bbae nkontento ulam naaktuhan muna nagsisiping,negative
sempre magddilim paningin moh magpalakpakan,negative
hrapan nagppasarap kama,neutral
bikolana giraray sain,neutral
dinagusan maraya abswelto ahan p kasal,negative
sasa oberes agi proseso gen,neutral
ndi sya abswelto wala kamay nya batas,neutral
madedo darwa caught in the act kasi,negative
diri ginigibo kasi naaalala araw magkasama tayong,neutral
ngiti luha ganon dati kasaya haaa,neutral
tig tigbas munalang mahalun bala ngunyan,negative
sowss marsep padigdiha daw babae i counseling trauma herak pm,negative
most possibly the husband will suffer the penalty of destierro because he caught them,negative
diri makuntinto q agom daruwa badileg e anap kadiratan,negative
nakuntento isus,neutral
mas alaba high power gari badil 26 yrs old kumpara 9mm 33 yrs old,neutral
badil permi estirado permi redi pumotok depisil,neutral
shotgun 12 gauge warat,neutral
girl is always girl arug babaye charreg,neutral
all nahuhuli ahahhahahahaha bisto q dae paw sossossssss,neutral
tig halat q nuarin daw masyadong exciting eepoo,neutral
buko gayud kontento otob gad susuka suka,neutral
amuyan sinasabing kaangapan,negative
makuntinto agom bukong kiisay nagpapakado,negative
makanamit putahe nasusuya inulas kalderita,neutral
nagtaid manlang daa magkaturog maagnuwon,neutral
ngiri tilapia aii,negative
demonyo bga uda ibng lalabusan kundi bikol pg cton gayud,negative
bikol submersable ga kinaban maiigop,neutral
matindi bagyo tat tao drift,neutral
burat bagyu ayy,negative
anung ugwa bikol pirmi ma dgdi pambihiras 9,neutral
maray bagyo bicol bus dai,neutral
kasama,neutral
keep safe,positive
diyos erak never pinangarap magbakal motor,positive
nakakatakot pangarwa uda ibabakal 9,neutral
agi ja,neutral
nho ktkot mg suno moror t kotse 4,neutral
p gulong naaksednte p pkaya 2 gulong,negative
mura kamote,neutral
boring joke,neutral
matuto nagmo motor kanan bahagi kalsada manatil,positive
gigitna liliko kaliwa kaakibat iingat,positive
rin tricycle,neutral
ingat naka tricycle motor,positive
masimut tamiling lawak kalsada kasyan,negative
magpadalagan buko drive dfensively drive wisely rw,positive
deffensive driving is must big bike pwede padalaganun,positive
maluway menor miling big bike permi harurot safety,positive
driving kurtisiya tinampo motorista keep safe sangamino,positive
nay kuman ingat permi biyahero,positive
buyong pinag gigirabo,neutral
pwedeng paki kumpleto barita,neutral
lirakman ate 68 severely injured pamaray aa,positive
desay prima,neutral
inayko irak,positive
ingat,positive
no way motor maglakaw maalawig buhay kaito naning,neutral
wara yang motor lakaw aralawig buhay exercise lawas iwas helang c,neutral
dios nbayad bagu irak no manay tiil naulkab,neutral
irak aii 4 ingat kc lagi drive dri magpara kaskasiro tah aksidenti,positive
maiwasan j j j,neutral
grabi irak no manay nadayaan feel potol gad pagiromdom,neutral
momotor dibali maloway dalagan kng motor u basta makaabot kmo bohay,positive
iiyanan,neutral
irak babae ga nputol till dios ingat prmi ngmo2tor,positive
takot tiil irak luway luway,neutral
problema kadaklan motor diri tatao magbigay making,neutral
akala pagbibigyan idinadagos alanganin,neutral
pinagbigyan lagapak,neutral
luway luway pagmamaneho motor,positive
bwelo tinampo nagmomotor aarakun magpadalagan,neutral
grabe putol paa praise the lord ingat momotor,positive
grabi tlaga aq pangarap motor piro motor mayung pangarap sako,neutral
q nguyan karita mayung disgrasya mayung gasulina,neutral
tuwid tuwid kc kalsada bandang nadaanan nong papunta,neutral
leyte kc dumaan iriga from iriga tuwid kalsada ambibilis,neutral
sasakyan dyan,neutral
dios magluway luway kontana cton tinampo irak ate ayy,neutral
ilinga saymo aa,neutral
nagmomotor mkpgpadalagan motor kaamo kagsadri,neutral
tinampo nayku erak agom,neutral
atubangan tindahan papa joe kambingan kadaklan,neutral
nayko maan kta permi dadrive,positive
hirak naputol bitis grabe,negative
ingat kmu permi motor,positive
kyang nakabunggo pisti bga yn prang kagsaderi tinampo dinayaan buway barkada,negative
mgdoble likay kamu ngtakot,positive
ingat pirmi,positive
uda irenglishan dpat,neutral
hehe nagrurugo lugod urong kakabasa news,neutral
payan nirereklamo barita dma intindihan,neutral
ata buko tga amerika migbasa,neutral
tama renconada,neutral
kaartihan keton ona bansa,negative
kono small state amerika basolon,negative
teacher siton kon diri nagtotot turo english,negative
mabanggaan lugod mataban bike ikang,negative
kanugon pan binaoy m caption bukong,neutral
paln america,neutral
update aksidente kaninang alas dyes dyan unahan holy child,neutral
yong babae putol paa,negative
duation kuya walking sunod biking,neutral
agg cctv dman marakup taban bike uda,negative
nagtaban q bike nakapark atubangan q parish center,negative
holy cross,neutral
dana patawad maski simban,negative
mkalaya kana madam kasi mahina depensa opensa liberal lumaki leni kiko kaka ngalngal,positive
sean marco pagsiat ok lumaki kesa lumaki aman pera bulsa maupo gobyerno diba digong,negative
popong guevara lol utak dilaw tlaga walng script boss korapsyon spaniol minana dilaw hnd nabulgar wag astang nagyun natuklasan korapsyon loslos,negative
sean marco pagsiat buhay kana noong espaniol2 dami alam,negative
mabuhay senadora leila de mabuhay kitang,positive
bicolnon mabuhay kitang pilipino dagos ma,positive
acquit kaso natutuda ngamen balobagi gibogibong,neutral
kaso droga,negative
i love you pldt 4 months kming wala internet 6 bayad nman udma hahahahaha,positive
galing nyo mang suspend account samantaing kay tagal nyo nagrestore nong,neutral
narestore sabay putol ulit kc babayran wala net kc,neutral
tgal ndi narestore charge parin nku ndi mkatao yang nyo,negative
pldt pandemic nga ganyan kayo wala kayo awa ndi ginusto,negative
magkaruon bagyo pra mawalan net 3 dyan soltes,negative
gnun kc kmi last yr mahina signal,negative
2 days nagamit after maayos wala ulit galing niyo sir boss,negative
wag magtaka pinaka mahinang internet buong mundo,negative
lupit sengil palpak nman serbisyu gs eg eg e kwental,negative
10mbps speed ngaun,neutral
please pkiayos nmn 3years nagbbyad maayos sainyo,neutral
dios noong last year kame wala net inaayos ilang beses,negative
tinawagan wala aksyon,negative
shoutout pldt nangblock october wala kaming internet,negative
kelan ba bumilis yung connection,neutral
kailan mabagal,neutral
hirak inosente empleyado mau kinakampihan mapa pula kaman,negative
blue tuyo ninda magkatrabaho pinapakakan,neutral
pandemya ngoyan wala kinakampihan politiko im just neutral,neutral
person simpatya maaapektuhan,neutral
i dont know the whole story behind this issue but for me fair,positive
grbe trabaho ninda ikararahay banwaan grbe,neutral
iipit nindo sainda job order munisipyo pili,negative
pamelyadong tao kaipuhan trabaho saindang,neutral
makatao,positive
opinion,neutral
kaalyado abusero pwesto again isipisip sumusunod,neutral
ipapalit jan kaalyado ninda dae pwde mayong j kukulangon sinda,neutral
manpower maray nalang sinda kayang street sweeper or garbage,neutral
sala redundant garbage,neutral
supog ipagsusulit garoka kontra bida pelikulang terminator,negative
pasig dinagdagan sahod job order employees pili tinanggal 9,negative
bgana bukong pobreng haha,negative
gabos job order ipig laog ninda dai kabale,neutral
over udang kunsensya dae nadidiktahan,negative
mau paninindugan udang pagkaherak tao nakakaranas ning,negative
sarong leader dae nagpapa dalos dalos desisyon iniisip kapakanan,positive
bako llaag posisyon mamamati,neutral
lyan totoong leader ngunyan pano matiwala saimo kayan ginibo sarong banwaan tratohon garu bako kitang sarong banwaan,negative
nakasaru ngunyan tandaan maabot election we will never forget,negative
