cleaned_comment,Label
ano kya yan kapatalan kan mga tga casureco or pictutuyo ninda?,Negative
ta kon technical na aspeto mn sna tano ta dai ninda magibohan nin paagi na haloy haloy na problima ninda..,Negative
mercy garing agreed. tagiti pa sana automatic brownout.,Negative
uban na yan na issue kiton ka casuraot 3 uda pagbabago. suya.,Negative
tawan man tabi kin tultul na na serbisyo ka kuryente ta mga tultul man kaming,Negative
bonus is real! kokoon sa consumer is real! pakaraya raw rabi serbisyo ninyo casureco,Negative
ill ta pag nararaot a mga appliances namo diri man ninyo mababalyuwan.,Negative
maging totoo sana kamo tanganing diri kamo napag iisipan kin uno pa man.,Negative
lang surang surang bagana na christmas light ading sulo!,Negative
nagbabayad man sa toltol dapat toltol man serbisyo itao casurico 3!,Negative
ahh serbisyo palpak pero kin migsingil lang ispid?,Negative
casureco 3 palpak a ibang casureco sadi camsur amo adi palpak ta uda basang notisya o kin abiso kin mauudaan sa kuryente.,Negative
"atang pandemya na ngani usad p man adi nagpapasakit hays,",Negative
harani na a bagong taon sana magbago naman kamo casureco 3,Negative
paki unplugged po muna mga appliances nindo kung uda kamo voltage regulator lalo mg flat screen tv .deficil na .maraot an..po,Negative
same in nabua..ngiri pati ka on and off ka kuryente ta tlagang kapa raot sa gamit!,Negative
"uda basang nakaka solve kan na taga casureco ill, eversince the world begun",Negative
nata kaiba kmi sadi nabua na oda kurynte 11pm ping oda na kurynte,Negative
nkaka hb mn tlaga an casureco n ini..,Negative
samuya nag reading kasuhapon..oy ta lintian na babayaran mi 5k mahigit.,Negative
imagine ah. palibhasa hurugakon an mga meter reader ninda..,Negative
pigpra tuom sna palan an mga reading me..,Neutral
dai mn nag iigdi sa harong puon nag pandemya.,Negative
kasuudma ing nag igdi c meter reader iyo ito si bill nyamo..,Neutral
ta pg basol p daa aki q na dae kya daa kmi nag tatao nin tamang kunsomo.,Negative
ay makauyamon..trabaho ninda mg reading.,Negative
.basolon p c aki q.,Negative
grabe perwisyo ata mg online class ya dina lugod mag klase!,Negative
kanina pa pong 11pm wala ng kuryente dito po sa sta eulalia bao...,Negative
11pm po uda na kuryente sto domingo nabua..,Negative
ingat na sna po linemen ta mauran,Positive
"sadi po iriga,what time po magkapower?",Neutral
la purisima iriga brownout hanggang ngayon simula pa kagabi.,Neutral
unong oras po migka power sa nabua?,Neutral
akala ko nga agko na kami christmas light sadi house ta on and off ah ilaw... haha,Negative
migtapos a taon uda man nagbago,Negative
kun mkaistrikto kmo k bayad s tkot n mputulan ilo kun drwa a bill dwa unong pki ucep,Negative
nusad sana nguwan buyong abo a mga counter sdi baao tpos amoyton serbisyo niinyo,Negative
pero ta uno kaya ninda manipulation uyan na power supply kna kuryente.,Negative
olol bakit alam moba f ano ginagawa ni leni,Negative
gago kapala mgka pgsalita kalamo galing mo gago.,Negative
mghugas kanga ng pinggan para makatolong ka sa nanay mo,Negative
tanggap na nirang batugan si pduts kya si vp na inaanap.,Neutral
da basang nag langoy,Negative
paki translate manpo sa tagalog kun abo bikolnon mala ko po kaya kapatal kya di gets ang english language,Neutral
ivan rosales atang pasada rinconada puro bareta english dapat kadi taga,Negative
rincondana man po tlagang saritaon hehe,Neutral
"kya ngani, maski pasada tagalog ok na sna yan.",Neutral
uda basang ako mai tindihn kna binabarita ta permi english,Negative
", cnsya na ta masakit adi two arog ko patal.",Negative
"takot mn su mga pulis,",Negative
"inulat pang mg dkol su ma distroso,",Negative
"uda mn mga nagginibo,",Negative
"ay unta ton., baritang rinconada pero english",Negative
dapat ta kadi pasada america,Neutral
pwede man kintanang rinconada na sana 0 tagalog ta nganing di pa nakadagdag kadi,Negative
"the fact is hindi naman talaga niya itatapon nataranta lang talaga siya kasi akala niya nahulog yung dala niya kaya kapa siya ng kapa sa bulsa niya,",Neutral
amu plan adi c nalabusan nmu sogav e nah pig tatawowan.kla qn disgrasya ing.,Negative
maray ngani uyan marakop.,Negative
erak man su pamilya.,Negative
oda pagbabago.,Negative
dpt ang tga pasada rinconda ang tinatanong ung mga nakakita mismo s pangyayari,Negative
..pra tama ung ibinabalita..di kung sino2 n ing ang kinakausap n wala nung mangyari.. basta may maibalita ing..,Negative
kaya kami nkakapag comment ng ganyan..t di man ang mga nka usap ng taga pasada rinconada ung nakakita mismo ng pangyayari.,Negative
kaya kayo napupulaan s ibinalita.,Negative
agko nayka gasgas sa tohod..,Negative
malamig na rihas pa bagsak mo,Negative
"paskulungan. ang resulta kawawa yung pamilya, kulang sa pasko.",Negative
"imbes masaya, problemado pa. haynako. bago bago rin. tumatanda na oh,",Negative
"nka shabu dapat alerto, sa ngamin na pra shabu ika buko alert!!!",Negative
ung mga nka usap cguro ninyo ung mga usyusiron ing at gustong sumikat..,Negative
tara man noy?,Neutral
"dilaan mo boy,maraya payka",Negative
panu naman kasi pinag sabay sabay kaya ganyan.,Neutral
sa panahon nguwan takot n tiga maki suksukan s kadaklan n tawo...,Negative
"uno raw nangyare sadi t arog kadi nangyare,",Neutral
d na utob so social distancing mga gurang p pati migpila pra makakuko sna q ayuda..,Negative
pwedi man sna limit lang so pinabauy muna pra s pagclaim. just saying lang po,Negative
abo po kuno ku land bank gusto nira personal appearance ka mga senior citizen.,Negative
dapat kiton inaatod na sana nganing d nmn mapagal so mga gurang.,Negative
si papa ko ngani nadismayo sahan!,Negative
"kaya raw agko nanaman nganako kadi migreport, ni nagsala hahaha",Negative
"mga gurang na papapirilahun pa,",Neutral
ang iba dae na kaya mag lakaw obligad0 para lang makakuang pensi0n.,Negative
"panu nalang c mga dae na talaga kaya dawa mag tukaw na mga seni0r?.n0, thanks na sana?",Negative
"nasa lgu ang problema,sa bao maski man igwa kian itatao sa mga tawo pero sunod pa man dyaday sinda sa protocol permi agq 1 mtr tas w f. shield and mask.",Negative
"jusko po,,kaherak man kan mga gurang dpat po ini organized ng ayos d sabay sabay",Negative
dapat poh talga inatod n sana kada bray para d n nag soksokan sa pila so mga gurang,Neutral
pauno poh palan kung agko n siton pinang ruloyahan n kin ginhawa,Negative
kulang p poh ah pension nira matatangap,Negative
usad so kag igin ko soyan n nag pila,Neutral
kung isi ko sana arog kiton diri kona pina iyan siton,Negative
"maerak mn poh kmo mga nakakataas sa mga gurang diri pag para pasakitan ah mga gurang ,,",Negative
usad pa bgo nira matangap ah pension pag para pabalik balikon pa ah mga precedente k mga sifior siton munisipyo para pag para isihon,Negative
"ngata arog kan a mga tawo,",Negative
pg agko ipin nao nagsusuksukan na pwd gayud mag pila lalo nguwan agko pinapautob na social distansing,Negative
udma kadakol na ka positive,Neutral
anggan nguwan tubod pa kamo sa kobid..,Negative
ilingon ninyu tunay na nangyayare bukong sa barita sana kamo nagkara base .,Neutral
sabi na kulang ya mga hospital kitun,Negative
sana sadi iriga maitao nmn uda na pang bulog ah mga gurang.,Negative
"ku usad ngani agko nag iyan na politiko sadi bray namu social distancing daw , pala pagbabayad namu suksukan sinda sadto lunadan nira 3 opssss share ko lang.",Negative
erak man ku mga senior,Negative
let the money talk begin. imbes na house to house distribution abo na mg pagal uyan na mga lgu officials,Negative
. pg abot sa sintabo nalilingawan ta na ngamin ayy!!!,Negative
pag mayong ngpossitive jan covid free tiga ang bula..,Negative
panu po kc 13baranggay pinagsabay sabay kaya pnu pa masusunod ang protocol nyan,Neutral
"2 nsa lgu ang problema , nasa pagpapadara po yan .. 5",Negative
d po pa ka nerbyos baad amu p yan mag cause k pgka amo na di sinasabi ko.,Negative
pag aldow na sa mga pension sarado na tibay butchok,Negative
"full tank mo pirmi para maagahan ka man sa tinampo trangkilo sana gs os 3 2,",Neutral
harayo man na marhay yan sa traffic sa edsa... hahaha,Negative
sadi po nabua grabe man traffic 2 nyare,Negative
pwede man po kaya halion an barikada kan kampo kan army sa harap kan deped diyan ta iyo an saro sa bottle neck diyan pwera pa kan sa kanto pacapitol.,Negative
lagi naman traffic jan pag dating sa pili,Negative
super traffic talaga subago pag pa nabua namo tapos deretso kami pili traffic din,Negative
"hanggang pag uling bula pati motor nasasakitan makasingit tapos sinabayan pang uran kasi yung mga road, kita nang libo ang additional ng mga sasakyan, di man lang palakihan!",Negative
arog kaini pag malupit ang hiling na may astigmatism. may asterisk hahaha,Negative
may piling oras mn lang ini iyo,Neutral
"isay raw yan ai, by the way congrats po ..deserve nyo po n mnalo alam qng maraming pera n rin po ang nggastos nyo bgo keo nanlo ng ganitong jocpot,,,",Positive
next ako na sunod ming gana sahan.hoping,Positive
sana all.sana baratuhan so gabos na nag comment,Positive
so gusto sa balato iyan na lang sadto baloy,Positive
congratulation sa nanalo taga bicol uragon ka....god is good all the time.,Positive
may kasabay pala q kya ing apat na number ing ang sakin,Neutral
congrats kristel shaila!! painom nal,Positive
wow congratzpoh balato man khit pamload ing,Positive
"sana ol , dawa di ako nag tataya",Neutral
sana all nag gagana..,Neutral
"jassica rose priolo baka ikaw yan, taga pol ka ah balato!!!",Positive
wow dalawa n nanalo sa albay,Positive
wag po tayong humahangad na yumaman dahil masasadlak tayo sa kapahamakan!,Neutral
"kanguran, gatikot pong tyaga y pacencia.",Negative
yan pong pagenergize ka 300mva kaipuhan sa panahon tangane po masynchronize y macommission sa tamang paagui ka manufacturer's recommendation for safety and dependable usage,Positive
. antabay po sagcod pacencia ta mawot ta man ngamen a marhay y seguridad na serbisyo.,Neutral
"dawa man maung advisory sa balatan normal na maudaan kuryente, bulok",Negative
anu ba naman yan power interruption nanamn kainaman na.,Negative
dapat po february 14 nalang po kuta,Neutral
rudolph osma ride na gayod kan hahaha brownout gyapon,Neutral
"para s mga ma date with candle lighting talaga, tapus s iba karapaan lang ta madiklum,",Neutral
kung pwede sa feb 14 na sana casureco iii mamuya pa ko,Neutral
wala na bang pag asa? di na nagbago! ilang taon na ganyan!,Negative
ay oh. maxado si casureco,Negative
baga na nasiraman naman ah casureco ah,Negative
potaton 2 pa sana dana kuryente sadi kanamo giramrag naamay naman lugod adi,Negative
balatan!!! pake usay man tabi ta diri na kami nakakaangos saci!,Negative
pirmi na sana,Neutral
umay na,Negative
para riding man tabi dri pkauugak kaarani k bloy q sa tinampo dri inaabot.,Neutral
casurico sbi ninyo jan 23 eh 21 ping ngown. uno mn iton?,Negative
unong aldow po,Neutral
serbisyo po!. newly replaced 300mva transformer po na dapat masunod so manufacturer's recommendation kin paono maenergize tangane macommission sagcod magserbisyo sadi grid ka nasasakopan na halos enterong camarines sur.,Neutral
tyaga po para sa ginhawang minamawot!,Positive
ipabarya..permi ng dadakulong tindaahan a babakalan kadi..hehe,Negative
na lang pala or magiging milyones na ung halaga ng 5k,Neutral
lan san antonio remo lalo na kung babakalon sana man limanh delemon,Neutral
"lapu lapu is not a hero, he is a villain ta an purpose man sana ni fernando magallanes kun tano ta nag igdi sya was to circumnavigate the world and to spread christianity.",Neutral
there was no decree yet from the king of spain to conquer. and bako man na war an nangyari sa mactan it was just an ambush.,Neutral
"kawawa ang mayari pagnhulog or naiwala yan, iyaktawa yun panigurado kht nmn skn",Negative
cguro mangyari dapat so sa 500 balyuhan naman so feature.,Neutral
commemorative note sana man ibig sabiyon di man an migluwas sa public limited man sana po a iluluwas kiton.,Neutral
sa 500 na lang c lapu lapu tanggalin na ang mga dilawan,Negative
madali sana iton mataban.,Negative
buti gng laging my 5 k,Positive
"nku pababa ng pababa n tlga halaga ng piso,,",Negative
la nang baba ka gdp ta,Negative
commemorative banknote nga lang naman daw.. anu ba kau.,Neutral
"kintana 2000 muna man or 1500,,.2",Neutral
ay amo palan yan so sinasabing galin pa sana so gma unang hirit ko nagrrigos kami,Neutral
sadto mangente resort last jan.12 congrats to the winner,Positive
congratulations kaninyo. pagyamanin po ninyo so blessings na itinao kaninyo ni god.,Positive
god bless your family always.,Positive
god is good in all the time..congrats to the family,Positive
"congrats,po kahit hinde man ako manali piro kalogar naman ang nanalo.pag palain po kyo ng my kapal.",Positive
congrattz..god is good...blessings yan sanyo..phighn nyo at ingtn.,Positive
"tart joy, amu di?",Neutral
congrats po! kakatuwa naman kc kababayan ko nanalo. praise god!,Positive
congrats kabayan q taga balatan,Positive
ayy amu nbayad gayo yan nmu sdto compound q city hall ng kikibigkibig pa irak man sna maka recover man,Neutral
ang problema po jan ta halos dukot nmn tiga ang primary line kan casureco sa telco post kaya suminabit ata c ladder or c payo nya.,Neutral
kaparati pati mau imng ppe n hard hat ang mga trabador kan company.,Negative
erak man .sana maka survive man sya... a.a,Negative
herak man ingat tabi kamo..,Negative
lringat sana tabi permi..,Positive
personal protective equipment must be in place.,Positive
su supplier ah rakupon tabi. amuyan dapat tinutumbok ninyo.,Neutral
pano mkaka talon palaka eh may takip ata takure,Neutral
dakol p sadi baao kuno raw masampulan ta nganing pumundo na nakakasira ng mga,Neutral
"kabataan nakikita mga ginagawa ng magulang bad influence,",Negative
"kon isi yan dakol sa baao druga nya tauno ta pinababayaan ka mayor saka mga pulis,",Negative
kin iton nagsisinapot kud pansit bato na sana kamo pangla amo ninyo ipagbariwas,Negative
bagana sa pati kapulisan pwede pa ninyong paiskoron. w,Negative
kesa man kiton stepping stone kintana kinding bawal.,Negative
amu mandi baao mga dri napondo kading pag tinda shabu dri pa jaday naubos dakol,Negative
na tawo nararaot dahil kiton n shabu iton uno man raw karayan kiton. maski agko tol tol,Negative
na tawo nagdadara kiton mga bisyo iton. mag agwanta pa kmo.,Negative
pdi man mabuhay na uda bisyo sa buhay.,Positive
siton baloy ni manay verginia.,Neutral
pirmi na sanang taga baao ang sangkot sa droga,Negative
ok lang yan bailbond ka 200k kung wala pahinga ka muna mga 1 year 20k na lang yan,Positive
pag shabu.perming baao.anyare,Negative
pangalanan nyo pra mabisto mga ugok.,Negative
dapat kan subsuban man na actual paryo ka marijuana..,Negative
ipabakal nanggad...,Neutral
in dri itatago snayan nira tas.,Neutral
must to make move mga leader tabi mag isip solusyon ka problema bokong poro sana,Positive
ono basang a ginigibo nindo mga under oath nag se sweldo iwag man tabi kamu,Negative
sigi pa kamo,Positive
bko man xanang xadi baao kdakol man xa ibang lugar minxan ngane tga naga xadi,Neutral
"baao narrakop,",Neutral
big time huh!,Positive
kadakulon ang matatalino igdi.,Positive
nata lakapasil man sana kun habo nindo magpa inject di dae kamu magpila.,Negative
matatalinong patal cge pang tahol garo ido.,Negative
mga nagcocoment dito ng mga negative mga di nakaranas sa abroad at walang,Negative
...sa abroad walang pinipili basta may vaccine malunasan lang problemsma ng covid...,Neutral
pero para sakin ang covid ay isang kasinungalingan sa dami kong nakasalamuha na ibang lahi na positive kuno hanggang ngaun nakauwi ako negative,Neutral
sabi ngani baga kitang mga taga bicol kung mamatay sa aga ngunyana...,Negative
pila lang mga dds sa donation kuno,Neutral
mga oa iba kung ayaw niyo di wag...,Negative
dami dada nun na tagal ng bakuna tapus ngayun puro din dada..,Negative
dinaman siguro kau pipilitin eh...,Neutral
txka kung alam niyo naman na ok pakiramdam niyo di wag kau paturok ganun lang yun..,Neutral
su leni ninyo mig gobernador na daa ta mayo na ma iiscam sa 2022 patal kaya.,Negative
bakit kailangan gamitin ang 50 effectivety rate. sana dn nlang s 95 sayang ang pera,Negative
pero pag sa tuta kapit na kapit kase walang masabe,Negative
bkadakol ka matatalino sadi bicol yoo,Positive
ka mga oa.,Negative
sadi ngani desyerto ultimo hari ag boung pamilya china made an ginamit na vaccine...,Neutral
mga dds una na kayo magpa turok ng bakuna para magka alaman na.hahaha,Neutral
kung ayaw nyu magpaturok tumahimik kayo kasi di nman kayo pinipilit...,Negative
wag nyu lang sisihin ang gobyerno pag nagkasakit kayo...tssssk,Negative
cris gord'z agko man kan sadi bicol dapat dri n nagkuku sa made in china,Negative
michael razon hertez mgdudukdok pa kadto,Neutral
cris gord'z dibali dri man itorok mg kaon sna.,Neutral
bosogpa.,Positive
sigurado pa uda side efect,Positive
hanapin ang agent qu van na nilunadan nira ta isi so mga detalye kadto papanaguton qu abala ag perwisyo,Negative
pauno palan ken agqu nangyare kanda maraot sorry ag thank you,Negative
jhon portugal pontillas pakitxt so plate no.,Neutral
ta paabangan ta ko mga tropa na nagcheck point!!!,Negative
pukpukon ko payo niral!!,Negative
"jhon portugal pontillas, malaka familiar ka middle name mo portugal kadakol portugal sa bray san jose nabua.",Neutral
"manduya man palan ika parehas tayo, insan.",Positive
"jhon portugal pontillas, ay masi an april palan bday mo, april din ako hehehe...",Positive
buko pong inofferan na sira sa malunadan ku usad gad na kapitan from nabua.,Neutral
"tibaad makauli na sira , stay safe!",Positive
erykah coraldebance kahit po si kgwd junjay nag oofer po ng masakyan nila.,Neutral
ung kaibigan q din sa laguna ipinost sira sapon na ramrag pig share q po sa katinik kaso sabi q friend q sinabiyan na daw na di mag galin.,Neutral
nag galin pa rin daw tapos tinanggal na su post niya tinanggal q na din su post q.,Neutral
nag pm na ing aq kaykgwd junjay,Neutral
then suddenly pinost naman po adi ku rider sa panda,Neutral
pig share q naman kay kgwd sabi niya nagpaiyan iya sa mga autoridad para masundo adi sa calamba kaso uda na daw.,Neutral
tapos agko po nag post na scam daw po adi..,Neutral
not so sure po pero baga na kaya nagtutugma po sadto comment kadto nagsabi.,Neutral
tas sabi po sadi nag agi sna ..,Neutral
pero sabi ku mkabyad kanda na nag galin sa calamba naglunad daw po sa jip.,Neutral
so sad po kin matuod na amo yan mudos nira despite po ka kadakol kanda gustong tumabang.,Neutral
"gelai aigel mendez ay grabe man po palan kin modus sana yan,",Negative
baad man diri ta kadakol ka gusto tumabang,Positive
erykah coraldebance truths mam kadakol po gusto kanda magtabang..,Positive
si kgwd junjay fortuna itself po gusto xa iparescue..,Positive
nakikipag coordinate po kami sadto nagpost kanda na barkada q taga bula adto .,Neutral
xempre kabbyan baya kaya nagmmkulog man kaso sinabihan na po ngani uno na ttabangan na sira ni kgwd nag galin daw.,Neutral
kaya nangalas aq talga ta ata irerescue na nag galin pa.,Negative
tapos napag isip isip q su comment ku usad sadto ibang group.,Neutral
tapos agko pa nagpost na 4 years ago daw arog man kan istorya arog,Neutral
imagine kin matuod po kaya talaga na nag aayat sira sa tabang,Neutral
tauno ta di sira nag ulat sa rescue,Negative
.pinaiyanan pa po sira sa autoridad ni kgwd fortuna.,Neutral
nagpabalik balik sadto tapos uda naman sira.,Neutral
tapos nguwan naman nabyad q su post ku kapitan nira buko daw po iton na lehitimong taga nabua..,Neutral
taga quezon daw po an nagsabi ing po na san na gustong mag istar kaya po tinawan sa bray,Neutral
i'd ta uda bsang po pagkakilanlan..,Negative
so sad po na despite of the people na gusto kanda magtabang modus man sna palan.,Negative
minesage q na din po si kgwd junjay regarding kadi.,Neutral
namumundo man ngani iya kin matuod daw po na modus ing adi kadi darw,Negative
dapat so kag sadiri ko van managot ngata di isi ko driver kin pira pasahero nia ta basta nlang nag galin,Negative
ibalik na ke ang byahe ng bus..,Neutral
ganon din namn..,Neutral
ising udapa su iba mag galin ka oda puso tapos su mga gamit isi na nasa sasakyan nag galin pa nanggad na oda su kagsaderi,Negative
erak man diri isi kong uno nasa isip ko driver na oda considerasyon.,Negative
"kabayong driver an ka van, ikang dimungkog ika ah mabayad ko sna ka ta ,",Negative
patikbaloon ko na nman ika.. !,Negative
"ay irakman dapat po bago otro mag andar baydon a pasahiro kong kumpleto,",Negative
"mabalos sa mga food panda, god bless you,",Positive
amo ding pangyyari a nkakapagpa tulo ng hula ko..,Negative
ngud ko kaya naranasan man mag agi pauli sadi bikol start manila..,Neutral
pero in god grace agko mga nagtabang kanya.,Positive
salamat sa mga tawong matabangon sa kapwa arog ka mga panda riders na yan..,Positive
salute to all the panda riders na tumulongg hain na daw an van driver dae lamang hiniling so saiyang pasaheros,Positive
d mn basang naerak su driver ku van.,Negative
agko mn po cguro number dpt pigtawagan ninda.,Neutral
grabe man na driver yan ku van d basang nag isip na nag plite man kin laka mal tas babayaan sna .,Negative
erak man,Negative
erak mn ni kiton mga ka taga nabua na paryo ko salamat po sa ngbigay ng food gods,Negative
bless maan kmo po 2,Positive
siguro nguwan na mga nguwan nag iisip nmn adtong driver ko ginibo nya...,Neutral
sana po di na pangarugan k iba pang mga driver ta siton.,Negative
galin pa sana kami sapon sa lipa batangas tapos sto tomas nag deliver.,Neutral
diri kuman an nabayad.,Neutral
barombado so driver ko van.,Negative
pigsimpuran man an nya ginibo nyang arogkan sa kapwa.....,Negative
anuman hanapbuhay van driver kapag hinaluan sa katarantaduhan agko katumbas na karma...,Negative
kada supog atang colorum man.,Negative
baka mabangga n sna pag uda n sakay pasahero,Neutral
makarma man siya,Negative
kung igwa na kuta ng bus pauli sa bikol dai iyan mangyayari sainda kundi tano daw ta habo pang tugutan ang mga bus na magbiyahi haling manila pasiring sa bikol ta hirak man.,Negative
uda supog na van!!!,Negative
tibaad a ginibu mo kade darwa di ibalik kanimo sa sobral,Negative
erak man!,Negative
tibaad makauli na kamo..,Positive
su van tibaad bisto pa ninyo!,Negative
dapat kn matawan leksyon!!!,Negative
ka imposibli man na diri marisa na kulang pasahero.,Negative
pakitxt po plate ta pasilip ko sadi malibay terminal bka sadi nagpaparadal!!!,Neutral
"dapat aware ang driver kung llan pasahero nia,at check before maglarga ta nagbayad madali mn ing an anapon ninda su nag pasakay sainda .",Neutral
iyu ito mka kua .,Neutral
aram n kulang p su lunad palargahun mn kn driver tanga mn an ..,Negative
dapat ma recover mn ninda mga gamit ninda.,Neutral
erak man di man basang minangnu ko driver kun komplerto na su pasahero niya.,Negative
sa totoo lang kung may restro lang motor ko sinundo ko mga iyan.,Positive
maraot na mga tawo yan ta iwatak o bayaan nira pasahero nya .,Negative
mabalos so mga na agyan na nagtao sa tabang,Positive
uda mn bsang malasakit s van...,Negative
dpat kdto panuguton q perwisyong tinao...k mag ngud.,Negative
sa agko mairak man na darwa kung kababayan pakilunad na tabi kin on da way man sana kamo,Positive
kainit payo.,Negative
mnsan dw nriribongan aq dgd s pasada ta bikolnonrinconada ang caption english,Negative
sana makaoli na sira at maaksyunan tulos ka igu nabua.. ingat po.,Positive
"grabe man da bsang mala sakit su mga kaiba nan ag driver.. hay naku,",Negative
pag makua so van gadanun an driber sa kudot,Negative
baka sinayang iwanan sila napaka gago ng driver.,Negative
bwisita palan su masimot! para man pirang taon na sana itatagal ka mga gurang sadi kinaban giniraan mo pa! .yes to death penalty!!!,Negative
tangina mo! maray nganing narakop nakang pagsusulit ika!,Negative
dapat kanimo kung uno man ginibo mo ko darwa amo man gbuhon kanimo!,Negative
"kong ano inutang yun din ang kabayaran, yes to death penalty!",Negative
maray sanang nakapag inging pa bago nagraan.,Negative
"tana abswelto ton pinakaon na,pina turog pa. esus marsep",Negative
"oda gaud yan lola lolo na ng mamahal ina ama,",Negative
"mga ngod, gurng na arog pakan dpat sakanya ipadanas ang gaono kakulog kan cnapit ka mg agom",Negative
tapos mahapot ang mga tao tanu minsan dae o habu na mgtabang kan iba.,Neutral
eu na tabi ni ang perfect example,Neutral
hayop ka dapat kanimu tadtaron sa pino para maranasan mo man so ginibu mo ko mga gurang.,Negative
bangag ika toy grabeh d nayka nairak kdi mga gurang eto itsura mu d mig gibo samaray hudas barabas ika,Negative
pistiha ng tawhana oi wala may kalooy sa mga tiguwang.,Negative
hoi palooy looy dayon sa nawng ang boang.,Negative
"ari ug cebu dong ky panitan kang bubi,",Negative
dina naawang animal nato..matatanda n pinatay mupa..,Negative
yang paragadan bitayon na dae kaipohan digdi sa kinaban an maraot na tawo,Neutral
tadtarin din paunti unti hanggang sa mawalan ng hininga ang animal nayan,Negative
parang wala sa huwisyo tong lalake na to.,Negative
jusko di na naerak ku mga gurang na nasa dapit hapon na mga buway .,Negative
pangyayari grabe dawa tratuhin ng mabuti ang isang tao ngaun wla ng sinasanto!!,Negative
pinakain mu sia pala papatay sau,Negative
hay naku..grbe na naiicp k tawo nguwan..,Negative
mabulok mn s kulungan su nggibo kan,Negative
hinuli nyo pa dapat binaril nyo na palamunin pa yan ng gobyerno,Negative
amo yn so pinakaon at pinainom muna traydor p din.,Negative
"parang singapore lang, arog dapat kaiyan ang hinahatulan bitay!!!!!",Negative
yes to death penalty...,Negative
shierlyien ann bagalacsa aroroy baga kuno adi,Neutral
"hayop na murderer toh,pinakain at pinatulog pa ng matatanda,nagawa pa nya yun.",Negative
kapal kn lalawgon mong hinayopak ka pinadagos pinakakan ka na eu pa yan binalos mong hudas ka,Negative
erak mn kn mga biktima ata mga gurang na mnga ga patayin den yan hayup hayup pa sa hayup demonyu jablo patayin din yan,Negative
"pinakain na pinatuloy pa tapos nangagat pa ganyan na tao, wag na patagalin para hindi tularan.. wawa naman ng pinatay nya.",Negative
napaka walang hiya matapos k kupkupin at palamunin ganyan pa gagawin mu,Negative
katayon na a kriminal na an,Negative
"manlaban kana para sumunod kna sa mga pinatay mo, hudas ka",Negative
firing dpat sa hayup na yan,Negative
patayen ning pag napatunayan khit ang langet ay mauunawaan.,Negative
grabe n nmn oh..pinakain at pinatulog n nga ginawan p ng msama.s,Negative
masbate naman to...,Neutral
gibon man kin uno pinag gibo!,Negative
"walang utang na loob ,,cguro may tama utak nyan kabata na criminal.",Negative
pasakan nang nyog yan hayop na yan,Negative
